datetime,T,TM,Tm,H,PP,VV,V,VM,pm2.5
2020-12,18.6,21.9,15.4,61.6,0.0,7.8,10.9,18.8,8.8
2021-03,19.1,21.4,16.3,69.4,0.0,6.1,9.7,16.5,12.0
2021-06,28.5,32.3,25.4,77.8,0.0,8.8,11.9,21.2,6.0
2021-09,29.5,33.8,26.2,80.1,0.0,9.2,9.0,19.0,4.3
2021-12,21.3,24.8,18.1,75.3,0.0,8.1,8.7,16.9,2.9
2022-03,18.6,21.2,16.0,82.0,0.0,6.8,10.4,18.5,9.0
2022-06,27.0,30.6,23.7,76.8,0.0,8.6,10.6,19.3,2.5
2022-09,29.1,33.3,25.9,79.0,0.0,9.1,9.3,19.2,2.0
2022-12,22.6,26.4,19.0,68.6,0.0,8.4,9.1,17.4,3.7
2023-03,20.1,23.0,16.8,73.1,0.0,7.0,10.6,18.7,7.8
2023-06,27.9,31.8,24.8,79.8,0.0,8.0,11.3,21.0,6.5
2023-09,29.3,33.4,26.1,79.6,0.0,9.0,9.0,20.1,4.3
2023-12,23.2,27.1,19.8,71.9,0.0,8.2,9.1,17.1,4.1
2024-03,18.5,20.9,16.2,79.2,0.0,6.8,10.7,17.6,7.8
2024-06,28.5,31.9,25.3,82.9,0.0,8.4,11.0,20.9,3.1
2024-09,28.9,32.8,25.9,81.4,0.0,9.1,10.2,21.1,2.2
2024-12,26.7,31.2,22.7,66.6,0.0,8.8,8.5,17.9,1.8
